arg1:String,arg2:String,confidence:String,context:String,context_rel:String,negated:String,passive:String,path:String,rel:String,sentence:String,tag:String,~from,~id,~to,~label
high amounts of anti-thyroid peroxidase autoantibodies,in the sera of patients,0.9320111551042786,"Among these autoantigens which are targeted by autoantibodies during the development of autoimmune thyroid diseases, thyroid peroxidase is a major player. Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism. Since anti-thyroid peroxidase autoantibodies from patients'sera mainly recognize a discontinuous immunodominant region on thyroid peroxidase and due to the complexity of the three dimensional structure of human thyroid peroxidase, numerous investigations have been necessary to closely localize this immunodominant region.",,0.0,1.0,PMC1084359,are found,"Indeed, high amounts of anti-thyroid peroxidase autoantibodies are found in the sera of patients suffering from Graves' disease and Hashimoto's thyroiditis, respectively hyper and hypothyroidism.",,LIT=anti-thyroid peroxidase autoantibodies,BL4GS3UW721RLIQZQRCH==LIT=anti-thyroid peroxidase autoantibodies_TO_LIT=patients,LIT=patients,Scientific Literature
the most frequent organ-specific autoimmune diseases,more than 3% of the total population,0.9417451716251358,"The aim of the present review is to summarize the current knowledge regarding the localization of the immunodominant region recognized by human thyroid peroxidase-specific autoantibodies generated during the development of autoimmune thyroid diseases.AutoimmunityThyroid Peroxidase (TPO)Autoantibody (aAb)Immunodominant region (IDR)Autoimmune Thyroid Diseases (AITD).==== Body1. IntroductionAutoimmune Thyroid Diseases (AITD) are one of the most frequent organ-specific autoimmune diseases affecting more than 3% of the total population worldwide. The clinical spectrum can be divided into two major subtypes, (i) glandular hyperfunction characterized by Graves' disease, and (ii) glandular hypofunction as Hashimoto's thyroiditis.",,0.0,0.0,PMC1084359,affecting worldwide,IntroductionAutoimmune Thyroid Diseases (AITD) are one of the most frequent organ-specific autoimmune diseases affecting more than 3% of the total population worldwide.,,LIT=autoimmune diseases,6PXDXZSIUVTMIU80QNBI==LIT=autoimmune diseases_TO_LIT=total population,LIT=total population,Scientific Literature
IntroductionAutoimmune Thyroid Diseases,one of the most frequent organ-specific autoimmune diseases,0.9496374851507858,"The aim of the present review is to summarize the current knowledge regarding the localization of the immunodominant region recognized by human thyroid peroxidase-specific autoantibodies generated during the development of autoimmune thyroid diseases.AutoimmunityThyroid Peroxidase (TPO)Autoantibody (aAb)Immunodominant region (IDR)Autoimmune Thyroid Diseases (AITD).==== Body1. IntroductionAutoimmune Thyroid Diseases (AITD) are one of the most frequent organ-specific autoimmune diseases affecting more than 3% of the total population worldwide. The clinical spectrum can be divided into two major subtypes, (i) glandular hyperfunction characterized by Graves' disease, and (ii) glandular hypofunction as Hashimoto's thyroiditis.",,0.0,1.0,PMC1084359,are,IntroductionAutoimmune Thyroid Diseases (AITD) are one of the most frequent organ-specific autoimmune diseases affecting more than 3% of the total population worldwide.,,LIT=introductionautoimmune thyroid diseases,1EV32R89L1BQ88KPP89W==LIT=introductionautoimmune thyroid diseases_TO_LIT=autoimmune diseases,LIT=autoimmune diseases,Scientific Literature
glandular hyperfunction,by Graves,0.9180804252893389,"IntroductionAutoimmune Thyroid Diseases (AITD) are one of the most frequent organ-specific autoimmune diseases affecting more than 3% of the total population worldwide. The clinical spectrum can be divided into two major subtypes, (i) glandular hyperfunction characterized by Graves' disease, and (ii) glandular hypofunction as Hashimoto's thyroiditis. In both diseases, there is a breakdown in tolerance and the generation of an immunoglobulin G response directed against thyrotropin receptor (predominantly in Graves' disease [1,2]), thyroglobulin, and thyroid peroxidase (TPO).",,0.0,1.0,PMC1084359,characterized,"The clinical spectrum can be divided into two major subtypes, (i) glandular hyperfunction characterized by Graves' disease, and (ii) glandular hypofunction as Hashimoto's thyroiditis.",,LIT=glandular hyperfunction,M554OISXIQ8JZKUY99NL==LIT=glandular hyperfunction_TO_LIT=by graves,LIT=by graves,Scientific Literature
glandular hyperfunction,by Graves ' disease,0.9180804252893389,"IntroductionAutoimmune Thyroid Diseases (AITD) are one of the most frequent organ-specific autoimmune diseases affecting more than 3% of the total population worldwide. The clinical spectrum can be divided into two major subtypes, (i) glandular hyperfunction characterized by Graves' disease, and (ii) glandular hypofunction as Hashimoto's thyroiditis. In both diseases, there is a breakdown in tolerance and the generation of an immunoglobulin G response directed against thyrotropin receptor (predominantly in Graves' disease [1,2]), thyroglobulin, and thyroid peroxidase (TPO).",,0.0,1.0,PMC1084359,characterized,"The clinical spectrum can be divided into two major subtypes, (i) glandular hyperfunction characterized by Graves' disease, and (ii) glandular hypofunction as Hashimoto's thyroiditis.",,LIT=glandular hyperfunction,A82VF3U4P1L68L5GQKW4==LIT=glandular hyperfunction_TO_LIT=disease,LIT=disease,Scientific Literature
The clinical spectrum,into two major subtypes,0.9111779447320654,"IntroductionAutoimmune Thyroid Diseases (AITD) are one of the most frequent organ-specific autoimmune diseases affecting more than 3% of the total population worldwide. The clinical spectrum can be divided into two major subtypes, (i) glandular hyperfunction characterized by Graves' disease, and (ii) glandular hypofunction as Hashimoto's thyroiditis. In both diseases, there is a breakdown in tolerance and the generation of an immunoglobulin G response directed against thyrotropin receptor (predominantly in Graves' disease [1,2]), thyroglobulin, and thyroid peroxidase (TPO).",,0.0,1.0,PMC1084359,can be divided,"The clinical spectrum can be divided into two major subtypes, (i) glandular hyperfunction characterized by Graves' disease, and (ii) glandular hypofunction as Hashimoto's thyroiditis.",,LIT=clinical spectrum,BM5BHM5CHRR73B5Y7ANV==LIT=clinical spectrum_TO_LIT=subtypes,LIT=subtypes,Scientific Literature
an immunoglobulin G response,against thyrotropin receptor,0.9387281236502384,"The clinical spectrum can be divided into two major subtypes, (i) glandular hyperfunction characterized by Graves' disease, and (ii) glandular hypofunction as Hashimoto's thyroiditis. In both diseases, there is a breakdown in tolerance and the generation of an immunoglobulin G response directed against thyrotropin receptor (predominantly in Graves' disease [1,2]), thyroglobulin, and thyroid peroxidase (TPO). Autoantibodies (aAbs) against TPO, a common denominator of AITD, are present in 90% of Hashimoto's thyroiditis and 75% of Graves' disease patients' sera [3].",,0.0,1.0,PMC1084359,directed,"In both diseases, there is a breakdown in tolerance and the generation of an immunoglobulin G response directed against thyrotropin receptor (predominantly in Graves' disease [1,2]), thyroglobulin, and thyroid peroxidase (TPO).",,LIT=immunoglobulin G response,2D1OSPR5L83AD11SNIDP==LIT=immunoglobulin G response_TO_LIT=thyrotropin receptor,LIT=thyrotropin receptor,Scientific Literature
Autoantibodies ( aAbs ) against TPO,present in 75 % of Graves ' disease patients ' sera,0.9680715191445158,"In both diseases, there is a breakdown in tolerance and the generation of an immunoglobulin G response directed against thyrotropin receptor (predominantly in Graves' disease [1,2]), thyroglobulin, and thyroid peroxidase (TPO). Autoantibodies (aAbs) against TPO, a common denominator of AITD, are present in 90% of Hashimoto's thyroiditis and 75% of Graves' disease patients' sera [3]. Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies.",,0.0,1.0,PMC1084359,are,"Autoantibodies (aAbs) against TPO, a common denominator of AITD, are present in 90% of Hashimoto's thyroiditis and 75% of Graves' disease patients' sera [3].",,LIT=TPO,UHJGPJURWUR4HFHRZ3S2==LIT=TPO_TO_LIT=sera,LIT=sera,Scientific Literature
Autoantibodies ( aAbs ) against TPO,present in 90 % of Hashimoto 's thyroiditis,0.9497646913932042,"In both diseases, there is a breakdown in tolerance and the generation of an immunoglobulin G response directed against thyrotropin receptor (predominantly in Graves' disease [1,2]), thyroglobulin, and thyroid peroxidase (TPO). Autoantibodies (aAbs) against TPO, a common denominator of AITD, are present in 90% of Hashimoto's thyroiditis and 75% of Graves' disease patients' sera [3]. Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies.",,0.0,1.0,PMC1084359,are,"Autoantibodies (aAbs) against TPO, a common denominator of AITD, are present in 90% of Hashimoto's thyroiditis and 75% of Graves' disease patients' sera [3].",,LIT=TPO,U59SNQOTPNPC3KQCFNPX==LIT=TPO_TO_LIT=%,LIT=%,Scientific Literature
the thyroid,to diagnose such pathologies,0.9030401971054747,"Autoantibodies (aAbs) against TPO, a common denominator of AITD, are present in 90% of Hashimoto's thyroiditis and 75% of Graves' disease patients' sera [3]. Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies. In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease.",,0.0,1.0,PMC1084359,thus extensively used,"Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies.",,LIT=the thyroid,UBNGYX7G17TPGISS46KV==LIT=the thyroid_TO_LIT=pathologies,LIT=pathologies,Scientific Literature
anti-TPO aAbs,present at high concentration in patients ' sera,0.9030401971054747,"Autoantibodies (aAbs) against TPO, a common denominator of AITD, are present in 90% of Hashimoto's thyroiditis and 75% of Graves' disease patients' sera [3]. Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies. In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease.",,0.0,1.0,PMC1084359,are,"Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies.",,LIT=anti-TPO aAbs,0HVTTWIAPDZNIWO3Q7RE==LIT=anti-TPO aAbs_TO_LIT=sera,LIT=sera,Scientific Literature
cytotoxic effector functions,In vitro,0.778530352305969,"Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies. In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease. Moreover, anti-TPO aAbs are likely to play a more important role in presenting TPO to T cells [5,13,14].",,0.0,1.0,PMC1084359,have been described,In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease.,,LIT=cytotoxic effector,OGMM4YQP1S0TF2OJ09JM==LIT=cytotoxic effector_TO_LIT=In vitro,LIT=In vitro,Scientific Literature
C3 complement activation,to the amplification of thyroid cell destruction in Hashimoto 's disease,0.9436110334354216,"Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies. In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease. Moreover, anti-TPO aAbs are likely to play a more important role in presenting TPO to T cells [5,13,14].",,0.0,0.0,PMC1084359,leading,In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease.,,LIT=C3 complement activation,CPWBXQ3KJDO3MYPGB8NM==LIT=C3 complement activation_TO_LIT=destruction,LIT=destruction,Scientific Literature
C3 complement activation,to the maintenance of thyroid cell destruction in Hashimoto 's disease,0.9436110334354216,"Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies. In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease. Moreover, anti-TPO aAbs are likely to play a more important role in presenting TPO to T cells [5,13,14].",,0.0,0.0,PMC1084359,leading,In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease.,,LIT=C3 complement activation,8RBR3X1UCDBNKA847RA7==LIT=C3 complement activation_TO_LIT=destruction,LIT=destruction,Scientific Literature
cytotoxic effector functions,such as C3 complement activation,0.9228620533945586,"Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies. In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease. Moreover, anti-TPO aAbs are likely to play a more important role in presenting TPO to T cells [5,13,14].",,0.0,1.0,PMC1084359,have been described,In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease.,,LIT=cytotoxic effector,XW7AO37W11DBACLU6GR9==LIT=cytotoxic effector_TO_LIT=C3 complement activation,LIT=C3 complement activation,Scientific Literature
cytotoxic effector functions,In vitro,0.9228620533945586,"Since anti-TPO aAbs are present at high concentration in patients' sera [4,5], they are invaluable makers of the thyroid autoimmune response and thus extensively used to diagnose such pathologies. In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease. Moreover, anti-TPO aAbs are likely to play a more important role in presenting TPO to T cells [5,13,14].",,0.0,1.0,PMC1084359,have been described,In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease.,,LIT=cytotoxic effector,FVK3EBNK8XDS0M2R33S9==LIT=cytotoxic effector_TO_LIT=In vitro,LIT=In vitro,Scientific Literature
anti-TPO aAbs,51314 ],0.9990000128746033,"In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease. Moreover, anti-TPO aAbs are likely to play a more important role in presenting TPO to T cells [5,13,14]. To understand the role of anti-TPO aAbs in the pathogenesis of AITD and to shed new light on how the TPO molecule is seen by the immune system, the delineation of anti-TPO B-cell epitopes has been the goal of several studies during the last decades.",,0.0,0.0,PMC1084359,are,"Moreover, anti-TPO aAbs are likely to play a more important role in presenting TPO to T cells [5,13,14].",,LIT=TPO,IL3YGJ5B3TM96T5SXFQX==LIT=TPO_TO_LIT=51314 ],LIT=51314 ],Scientific Literature
anti-TPO aAbs,a more important role,0.9045207649554154,"In vitro and in vivo cytotoxic effector functions have also been described such as C3 complement activation [6-8] and antibody-dependent cell cytotoxicity [9-12] leading to the maintenance and amplification of thyroid cell destruction in Hashimoto's disease. Moreover, anti-TPO aAbs are likely to play a more important role in presenting TPO to T cells [5,13,14]. To understand the role of anti-TPO aAbs in the pathogenesis of AITD and to shed new light on how the TPO molecule is seen by the immune system, the delineation of anti-TPO B-cell epitopes has been the goal of several studies during the last decades.",,0.0,0.0,PMC1084359,to play,"Moreover, anti-TPO aAbs are likely to play a more important role in presenting TPO to T cells [5,13,14].",,LIT=TPO,9I805AM5ZQSPVXGV5DHP==LIT=TPO_TO_LIT=role,LIT=role,Scientific Literature
